code,type,neighborhood,rent_value,condominium_value,property_tax,bedrooms,suites,bathrooms,parking_spaces,private_area,furnished,amenities,latitude,longitude
0,APARTMENT,Perdizes,2600,1000,,2,-,2,1,98,False,"['PETS_ALLOWED', 'CONCIERGE_24H']",-23.533013,-46.664833
1,APARTMENT,Higienópolis,2111,689,,2,-,1,-,62,False,"['ELEVATOR', 'PETS_ALLOWED', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'DISABLED_ACCESS']",-23.543967,-46.651519
2,APARTMENT,Liberdade,2800,570,2886,3,1,2,2,79,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'GATED_COMMUNITY', 'GARDEN']",-23.560154,-46.634183
3,APARTMENT,Vila Madalena,1900,411,85,2,-,1,1,48,False,"['PETS_ALLOWED', 'BICYCLES_PLACE', 'ELECTRONIC_GATE']",-23.554346,-46.695942
4,APARTMENT,Higienópolis,3000,900,380,3,-,2,1,127,False,"['GYM', 'BARBECUE_GRILL', 'GATED_COMMUNITY', 'PETS_ALLOWED', 'GARDEN']",-23.548102,-46.654299
5,APARTMENT,Vila Pompéia,2150,750,122,2,-,2,1,56,False,"['POOL', 'GYM', 'ELEVATOR', 'PETS_ALLOWED', 'PLAYGROUND']",-23.528687,-46.685394
7,APARTMENT,Pinheiros,3300,878,,2,-,2,1,120,False,"['ELEVATOR', 'PETS_ALLOWED', 'AMERICAN_KITCHEN']",-23.561994,-46.689139
8,APARTMENT,Pinheiros,2500,761,151,2,-,2,1,78,False,"['ELEVATOR', 'CONCIERGE_24H']",-23.549122,-46.68801
10,APARTMENT,Cerqueira César,2850,862,225,3,1,2,1,80,False,"['PETS_ALLOWED', 'GARDEN', 'CONCIERGE_24H']",-23.558707,-46.677977
11,APARTMENT,Higienópolis,1811,689,,2,-,1,-,62,False,"['ELEVATOR', 'PETS_ALLOWED', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'DISABLED_ACCESS']",-23.543967,-46.651519
12,APARTMENT,Perdizes,3500,1700,3500,4,2,3,1,110,False,"['POOL', 'ELEVATOR', 'GATED_COMMUNITY', 'PETS_ALLOWED', 'GARDEN']",-23.537744,-46.672062
13,APARTMENT,Perdizes,2300,990,2400,2,-,2,1,103,False,['CONCIERGE_24H'],-23.535232,-46.666029
15,APARTMENT,Pinheiros,3500,730,229,2,-,1,1,63,True,"['FURNISHED', 'POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR']",-23.556747,-46.677394
16,APARTMENT,Pinheiros,3000,880,119,2,0,1,1,58,False,"['POOL', 'PETS_ALLOWED', 'GARDEN', 'PARTY_HALL', 'BICYCLES_PLACE']",-23.563579,-46.691607
18,APARTMENT,Perdizes,3000,1300,708,3,-,3,-,126,True,"['FURNISHED', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY', 'PETS_ALLOWED']",-23.537369,-46.677152
19,APARTMENT,Pinheiros,2200,650,150,2,0,1,1,75,False,['SERVICE_AREA'],-23.556962,-46.675867
21,APARTMENT,Pinheiros,2600,550,53,2,-,1,-,75,False,"['ELEVATOR', 'PETS_ALLOWED', 'BICYCLES_PLACE']",-23.566531,-46.69101
22,APARTMENT,Vila Pompéia,1800,750,164,2,0,1,1,72,False,"['POOL', 'ELEVATOR', 'SERVICE_AREA', 'PETS_ALLOWED', 'PARTY_HALL']",-23.528687,-46.685394
23,APARTMENT,Perdizes,3185,1100,400,4,1,2,2,105,False,"['AIR_CONDITIONING', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.529099,-46.688833
24,APARTMENT,Pinheiros,1800,1200,300,2,0,1,1,60,True,"['FURNISHED', 'POOL', 'BALCONY', 'GYM', 'AIR_CONDITIONING']",-23.554158,-46.675321
25,APARTMENT,Perdizes,2800,,,2,-,2,1,60,False,['PETS_ALLOWED'],-23.53611,-46.673156
27,APARTMENT,Perdizes,3185,1100,400,4,1,2,2,105,False,"['AIR_CONDITIONING', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.529099,-46.688833
29,APARTMENT,Perdizes,4985,2091,733,3,3,3,3,130,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.53478,-46.68346
31,APARTMENT,Liberdade,1400,564,79,2,-,1,-,55,False,[],-23.560462,-46.632872
33,APARTMENT,Perdizes,4800,1540,673,4,3,5,2,127,False,"['POOL', 'BARBECUE_GRILL', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY']",-23.534011,-46.664626
34,APARTMENT,Pinheiros,4300,987,408,2,1,2,2,85,False,"['POOL', 'BALCONY', 'GYM', 'KITCHEN']",-23.563596,-46.689214
35,APARTMENT,Perdizes,2200,700,200,2,0,2,0,100,False,"['ELEVATOR', 'GATED_COMMUNITY', 'PETS_ALLOWED', 'GARDEN']",-23.536902,-46.674317
37,APARTMENT,Pinheiros,2800,1300,70,2,1,2,2,60,False,['POOL'],-23.551031,-46.680301
39,APARTMENT,Santa Cecília,4800,1070,428,3,1,3,2,80,False,"['POOL', 'GYM', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY']",-23.534383,-46.659965
41,APARTMENT,Pinheiros,2800,375,86,2,0,1,0,73,False,"['ELEVATOR', 'GATED_COMMUNITY']",-23.563332,-46.679666
42,APARTMENT,Pinheiros,4000,909,299,2,1,2,2,76,False,[],-23.560405,-46.688507
43,APARTMENT,Liberdade,1600,549,0,2,-,2,0,70,False,"['ELEVATOR', 'GATED_COMMUNITY']",-23.567563,-46.635382
45,APARTMENT,Pinheiros,4485,1500,275,3,1,2,1,120,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.560738,-46.683382
47,APARTMENT,Pinheiros,3570,900,330,2,1,2,1,70,False,"['POOL', 'BALCONY', 'BARBECUE_GRILL', 'AIR_CONDITIONING', 'GARAGE']",-23.567014,-46.691187
48,APARTMENT,Pinheiros,3700,1161,153,3,0,2,1,105,False,[],-23.568213,-46.688164
50,APARTMENT,Pinheiros,2150,870,90,2,0,2,1,72,False,[],-23.555528,-46.674256
54,APARTMENT,Água Branca,1170000,834,392,3,1,4,2,103,False,"['POOL', 'BARBECUE_GRILL', 'GYM', 'ELEVATOR', 'GATED_COMMUNITY']",-23.523405,-46.685056
55,APARTMENT,Perdizes,4600,1517,396,3,1,3,1,145,False,"['GARAGE', 'ELEVATOR', 'KITCHEN', 'SERVICE_AREA', 'SECURITY_24_HOURS']",-23.533278,-46.669132
56,APARTMENT,Pinheiros,3500,1282,312,3,1,3,2,82,False,"['POOL', 'BARBECUE_GRILL', 'HEATING']",-23.559418,-46.678037
57,APARTMENT,Pinheiros,3000,930,165,2,0,2,1,67,False,"['POOL', 'ELEVATOR', 'PETS_ALLOWED', 'GARDEN', 'PLAYGROUND']",-23.555684,-46.678293
58,APARTMENT,Sumarezinho,3000,1230,272,2,-,2,1,82,False,"['POOL', 'ELEVATOR', 'KITCHEN', 'PARTY_HALL', 'INTERCOM']",-23.552637,-46.689229
60,APARTMENT,Pinheiros,5000,1042,250,2,-,1,1,93,False,"['GYM', 'ELEVATOR', 'GATED_COMMUNITY', 'GARDEN']",-23.561047,-46.671155
61,APARTMENT,Pinheiros,4950,890,106,3,1,3,1,134,False,[],-23.562563,-46.675485
64,APARTMENT,Consolação,4500,715,298,2,1,2,2,62,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.549335,-46.654608
66,APARTMENT,Higienópolis,3800,2500,700,2,2,2,1,60,True,"['FURNISHED', 'POOL', 'BALCONY', 'GOURMET_BALCONY', 'GYM']",-23.543903,-46.663087
71,APARTMENT,Pinheiros,3300,950,25,2,0,2,0,92,False,[],-23.563374,-46.680701
73,APARTMENT,Vila Pompéia,2700,788,241,3,1,2,2,80,False,[],-23.528912,-46.685803
78,APARTMENT,Pinheiros,3485,1035,90,3,0,2,1,87,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.554041,-46.679044
81,APARTMENT,Pinheiros,3500,645,230,2,-,2,1,119,False,['KITCHEN'],-23.555808,-46.674077
83,APARTMENT,Perdizes,3700,971,360,2,2,3,2,68,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'AIR_CONDITIONING', 'ELEVATOR']",-23.53191,-46.674741
91,APARTMENT,Pinheiros,3740,1772,183,3,1,3,2,99,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.562085,-46.687097
92,APARTMENT,Perdizes,3190,3000,928,3,2,3,3,170,False,"['BARBECUE_GRILL', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'CLOSET']",-23.533356,-46.66419
93,APARTMENT,Pinheiros,4990,886,124,3,0,2,1,75,False,['PARTY_HALL'],-23.563569,-46.683119
95,APARTMENT,Perdizes,1900,1280,245,3,0,2,1,106,False,[],-23.534441,-46.665779
97,APARTMENT,Pinheiros,3000,700,168,2,0,1,1,48,False,"['BARBECUE_GRILL', 'RECEPTION']",-23.569981,-46.694339
98,APARTMENT,Perdizes,2000,240,170,2,0,1,0,80,False,[],-23.5351,-46.688186
100,APARTMENT,Perdizes,2800,898,375,3,0,2,2,91,True,"['FURNISHED', 'BALCONY', 'GYM', 'ELEVATOR', 'GARDEN']",-23.538612,-46.678395
101,APARTMENT,Cerqueira César,3200,890,265,2,1,2,2,75,False,"['POOL', 'BALCONY', 'GOURMET_BALCONY', 'GYM', 'BARBECUE_GRILL']",-23.561245,-46.6754
107,APARTMENT,Perdizes,2800,900,64,3,1,2,1,94,False,"['ELEVATOR', 'INTERCOM']",-23.533887,-46.686061
109,APARTMENT,Pinheiros,3985,700,300,2,0,1,1,55,False,['AIR_CONDITIONING'],-23.563611,-46.685912
110,APARTMENT,Sumarezinho,4490,1750,1,2,2,1,2,140,False,['PARTY_HALL'],-23.542234,-46.697966
111,APARTMENT,Vila Madalena,4990,1400,370,2,1,2,2,70,False,['SERVICE_AREA'],-23.552942,-46.69789
113,APARTMENT,Perdizes,3500,1880,460,3,1,3,2,118,False,"['ELEVATOR', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'INTERCOM']",-23.539401,-46.67072
114,APARTMENT,Pinheiros,2500,940,142,2,0,2,1,90,False,"['ELEVATOR', 'GATED_COMMUNITY', 'PETS_ALLOWED', 'PARTY_HALL']",-23.562339,-46.675374
115,APARTMENT,Higienópolis,2800,1158,195,2,0,2,1,69,False,[],-23.545703,-46.659957
117,APARTMENT,Pinheiros,2300,1250,350,2,0,1,1,70,False,"['ELEVATOR', 'GATED_COMMUNITY', 'SERVICE_AREA', 'PETS_ALLOWED', 'GARDEN']",-23.558008,-46.675556
119,APARTMENT,Perdizes,3185,1155,381,2,1,2,2,78,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.533362,-46.672484
120,APARTMENT,Pinheiros,3985,1902,300,2,1,2,1,136,False,['SERVICE_AREA'],-23.561474,-46.698025
121,APARTMENT,Pinheiros,3740,1772,183,3,1,3,2,99,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.562085,-46.687097
122,APARTMENT,Consolação,4990,3050,1160,3,3,3,2,160,True,"['FURNISHED', 'BARBECUE_GRILL', 'AIR_CONDITIONING', 'SERVICE_AREA', 'PLAYGROUND']",-23.548164,-46.657844
123,APARTMENT,Pinheiros,3900,1777,596,3,1,4,2,115,False,"['POOL', 'BALCONY', 'GARAGE', 'ELEVATOR', 'KITCHEN']",-23.559835,-46.678069
125,APARTMENT,Consolação,4000,1900,300,3,1,3,1,110,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'DINNER_ROOM']",-23.54347,-46.657623
126,APARTMENT,Perdizes,1800,400,,2,0,1,0,70,False,[],-23.535346,-46.681192
127,APARTMENT,Perdizes,2600,1126,260,2,2,3,2,70,False,"['POOL', 'BALCONY', 'GYM', 'ELEVATOR', 'SERVICE_AREA']",-23.532724,-46.684407
129,APARTMENT,Água Branca,2900,600,109,2,1,2,1,65,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'AIR_CONDITIONING', 'ELEVATOR']",-23.523534,-46.68404
131,APARTMENT,Pinheiros,4890,1157,330,4,2,2,2,107,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.560462,-46.684074
134,APARTMENT,Sumarezinho,4385,798,201,2,0,1,1,58,False,"['SERVICE_AREA', 'PARTY_HALL']",-23.545899,-46.692587
137,APARTMENT,Higienópolis,2500,3800,700,2,2,2,1,60,True,"['FURNISHED', 'POOL', 'BALCONY', 'GOURMET_BALCONY', 'GYM']",-23.543903,-46.663087
139,APARTMENT,Jardim das Bandeiras,3690,1380,350,2,1,2,2,81,False,"['SERVICE_AREA', 'PARTY_HALL']",-23.555034,-46.686267
140,APARTMENT,Perdizes,3185,1100,400,4,1,2,2,105,False,"['AIR_CONDITIONING', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.529099,-46.688833
142,APARTMENT,Santa Cecília,4985,3000,1990,3,1,2,2,220,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'CLOSET']",-23.542545,-46.663815
143,APARTMENT,Pinheiros,2800,1059,1,2,1,3,1,90,False,"['BACKYARD', 'ELEVATOR', 'GATED_COMMUNITY', 'GARDEN']",-23.559252,-46.674562
144,APARTMENT,Perdizes,3190,1665,316,3,2,2,1,108,False,"['POOL', 'PLAYGROUND', 'PARTY_HALL', 'ADULT_POOL']",-23.53773,-46.672179
145,APARTMENT,Pinheiros,3300,878,0,2,0,2,1,120,False,[],-23.561994,-46.689139
146,APARTMENT,Pinheiros,3990,1200,350,2,1,2,2,101,False,"['AIR_CONDITIONING', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.561584,-46.681174
147,APARTMENT,Higienópolis,3600,688,126,2,0,1,1,58,True,"['FURNISHED', 'POOL', 'GYM', 'BARBECUE_GRILL', 'AIR_CONDITIONING']",-23.547208,-46.65419
148,APARTMENT,Vila Pompéia,3150,735,97,2,1,1,1,58,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.528178,-46.686055
150,APARTMENT,Higienópolis,4950,1988,530,3,1,3,2,164,False,[],-23.545703,-46.659957
153,APARTMENT,Perdizes,3400,787,175,2,1,2,2,67,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.53904,-46.681128
154,APARTMENT,Santa Cecília,4800,1070,428,3,1,3,2,80,False,"['POOL', 'GYM', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY']",-23.534383,-46.659965
156,APARTMENT,Higienópolis,3490,1200,205,2,0,1,1,96,False,"['PLAYGROUND', 'PARTY_HALL']",-23.545455,-46.6544
157,APARTMENT,Santa Cecília,3485,1455,408,2,1,2,2,90,False,"['PARTY_HALL', 'ADULT_GAME_ROOM']",-23.53699,-46.661008
162,APARTMENT,Cerqueira César,4500,1600,,2,2,1,2,130,False,"['POOL', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL']",-23.55733,-46.678631
165,APARTMENT,Higienópolis,3990,2100,309,3,1,3,2,160,False,"['SERVICE_AREA', 'COPA']",-23.544008,-46.66159
166,APARTMENT,Pinheiros,2600,644,,2,-,1,-,80,False,"['SERVICE_AREA', 'INTERCOM']",-23.555229,-46.690722
167,APARTMENT,Pinheiros,4240,1180,115,3,1,2,1,117,False,"['SERVICE_AREA', 'PARTY_HALL', 'SPORTS_COURT']",-23.554322,-46.682339
168,APARTMENT,Vila Madalena,2500,530,162,2,0,2,0,80,False,"['KITCHEN', 'SERVICE_AREA', 'INTERCOM', 'LAUNDRY']",-23.559306,-46.691796
171,APARTMENT,Higienópolis,3950,980,220,2,1,3,2,90,True,"['FURNISHED', 'SERVICE_AREA', 'PETS_ALLOWED', 'GARDEN', 'PLAYGROUND']",-23.543118,-46.6576
172,APARTMENT,Vila Pompéia,2500,670,,2,-,1,1,55,False,"['BARBECUE_GRILL', 'GARDEN']",-23.532238,-46.687857
174,APARTMENT,Vila Madalena,3850,1164,296,2,1,1,1,102,False,"['POOL', 'BARBECUE_GRILL', 'PLAYGROUND', 'PARTY_HALL']",-23.552681,-46.690847
176,APARTMENT,Liberdade,4300,875,150,3,1,2,1,76,False,[],-23.570901,-46.63973
178,APARTMENT,Liberdade,1600,633,0,2,0,2,1,55,False,"['POOL', 'GYM', 'ELEVATOR', 'GARDEN', 'PLAYGROUND']",-23.557895,-46.631205
179,APARTMENT,Perdizes,5000,960,450,2,1,4,2,112,False,"['GYM', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY', 'GOURMET_SPACE']",-23.535246,-46.667583
187,APARTMENT,Sumarezinho,4200,1462,557,3,1,3,2,132,False,"['ELEVATOR', 'KITCHEN', 'SECURITY_24_HOURS', 'INTERCOM']",-23.552932,-46.688411
188,APARTMENT,Cerqueira César,2200,841,99,2,0,2,1,75,False,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN']",-23.561257,-46.679162
191,APARTMENT,Higienópolis,4985,2049,600,3,0,2,2,180,False,"['SERVICE_AREA', 'PARTY_HALL']",-23.545633,-46.657276
192,APARTMENT,Vila Madalena,3235,1000,551,3,1,2,2,90,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.541757,-46.701762
197,APARTMENT,Perdizes,1800,380,0,2,0,1,-,56,False,['GATED_COMMUNITY'],-23.539499,-46.677464
200,APARTMENT,Higienópolis,3200,970,210,2,0,2,1,100,False,['ELEVATOR'],-23.546109,-46.655515
202,APARTMENT,Perdizes,2000,668,157,2,0,2,1,71,False,"['ELEVATOR', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.536997,-46.683493
203,APARTMENT,Pinheiros,2900,896,104,3,-,2,1,72,False,"['ELEVATOR', 'PETS_ALLOWED']",-23.564433,-46.685499
